Change Component Footprint: Designator=C1 Old Footprint=FP-CL779-IPC_C New Footprint=FP-CL10-IPC_C
Change Component Comment : Designator=C1 Old Comment=100nF New Comment=10uF
Change Managed Component Library Link : Designator=C1 Old VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 New VaultGUID=B7D15EC3-160A-466F-A46C-7801FE6295A7 Old ItemGUID=E21F6292-C0A8-404D-8797-1A0C4B7BD28D New ItemGUID=26F4A389-1F0E-4169-B164-A32C4BB914BE Old RevisionGUID=4556B26D-81C6-432A-B288-53A99AC03548 New RevisionGUID=610AAA75-8DA8-40BA-B8A5-7EF0F8200246
Change component parameters: Designator = "C1" ("C1"); Footprint = "FP-CL779-IPC_C"; UniqueID = "\XVLDQSIS" ("\XVLDQSIS")
Add component (AddParameter): Name = "Min Supply Voltage"; Value = "4.7V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Mouser Description"; Value = "LDO Voltage Regulators Fixed LDO Volt Reg"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Nominal Supply Current"; Value = "5mA"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Number Of Outputs"; Value = "1"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Octopart"; Value = "https://octopart.com/tlv1117-33idcyr-texas+instruments-669250"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Output Current"; Value = "0.8A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Output Type"; Value = "Fixed"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Output Voltage"; Value = "3.3V"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Package"; Value = "DCY0004A"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "RoHS"; Value = "TRUE"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Standoff Height"; Value = "0.02mm"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature"; Value = "-40°„C to +125°„C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range High"; Value = "+125°„C"; VariantName = "[No Variations]"
Add component (AddParameter): Name = "Temperature Range Low"; Value = "-40°„C"; VariantName = "[No Variations]"
Added Component: Designator=Y1(FP-ABM3-MFG)
Added Pin To Net: NetName=GND Pin=C2-1
Added Pin To Net: NetName=GND Pin=C3-1
Added Pin To Net: NetName=3V3 Pin=C3-2
Added Pin To Net: NetName=GND Pin=C4-1
Added Pin To Net: NetName=3V3 Pin=C4-2
Added Pin To Net: NetName=GND Pin=C5-1
Added Pin To Net: NetName=3V3 Pin=C5-2
Added Pin To Net: NetName=GND Pin=C6-1
Added Pin To Net: NetName=3V3 Pin=C6-2
Added Pin To Net: NetName=3V3 Pin=C7-1
Added Pin To Net: NetName=GND Pin=C7-2
Added Pin To Net: NetName=GND Pin=C8-2
Added Pin To Net: NetName=GND Pin=C9-1
Added Pin To Net: NetName=3V3 Pin=C9-2
Added Pin To Net: NetName=GND Pin=C10-2
Added Pin To Net: NetName=GND Pin=C11-1
Added Pin To Net: NetName=GND Pin=C12-1
Added Pin To Net: NetName=GND Pin=C13-1
Added Pin To Net: NetName=GND Pin=D3-2
Added Pin To Net: NetName=3V3 Pin=FB1-1
Added Pin To Net: NetName=GND Pin=J1-1
Added Pin To Net: NetName=GND Pin=J1-2
Added Pin To Net: NetName=GND Pin=J1-3
Added Pin To Net: NetName=GND Pin=J1-4
Added Pin To Net: NetName=GND Pin=J1-A1
Added Pin To Net: NetName=GND Pin=J1-A12
Added Pin To Net: NetName=GND Pin=J1-B1
Added Pin To Net: NetName=GND Pin=J1-B12
Added Pin To Net: NetName=3V3 Pin=P1-1
Added Pin To Net: NetName=GND Pin=P1-2
Added Pin To Net: NetName=3V3 Pin=Q1-2
Added Pin To Net: NetName=GND Pin=R1-2
Added Pin To Net: NetName=GND Pin=R2-2
Added Pin To Net: NetName=GND Pin=R6-2
Added Pin To Net: NetName=3V3 Pin=R7-2
Added Pin To Net: NetName=GND Pin=R8-2
Added Pin To Net: NetName=3V3 Pin=R9-2
Added Pin To Net: NetName=GND Pin=R11-1
Added Pin To Net: NetName=3V3 Pin=U2-1
Added Pin To Net: NetName=GND Pin=U2-8
Added Pin To Net: NetName=3V3 Pin=U2-36
Added Pin To Net: NetName=3V3 Pin=U2-48
Added Pin To Net: NetName=GND Pin=U2-49
Added Pin To Net: NetName=GND Pin=U3-1
Added Pin To Net: NetName=3V3 Pin=U3-2
Added Pin To Net: NetName=3V3 Pin=U3-4
Added Pin To Net: NetName=3V3A Pin=C2-2
Added Pin To Net: NetName=3V3A Pin=FB1-2
Added Pin To Net: NetName=3V3A Pin=U2-9
Added Net: Name=3V3A
Added Pin To Net: NetName=BOOT0 Pin=R6-1
Added Pin To Net: NetName=BOOT0 Pin=U1-44
Added Net: Name=BOOT0
Added Pin To Net: NetName=BOOT1 Pin=R8-1
Added Pin To Net: NetName=BOOT1 Pin=U1-20
Added Net: Name=BOOT1
Added Pin To Net: NetName=LED_CON Pin=D2-2
Added Pin To Net: NetName=LED_CON Pin=U1-42
Added Net: Name=LED_CON
Added Pin To Net: NetName=LED_RUN Pin=D1-2
Added Pin To Net: NetName=LED_RUN Pin=U1-30
Added Net: Name=LED_RUN
Added Pin To Net: NetName=NetC8_1 Pin=C8-1
Added Pin To Net: NetName=NetC8_1 Pin=R9-1
Added Pin To Net: NetName=NetC8_1 Pin=U1-7
Added Net: Name=NetC8_1
Added Pin To Net: NetName=NetC11_2 Pin=C11-2
Added Pin To Net: NetName=NetC11_2 Pin=U1-5
Added Pin To Net: NetName=NetC11_2 Pin=Y1-2
Added Net: Name=NetC11_2
Added Pin To Net: NetName=NetC12_2 Pin=C12-2
Added Pin To Net: NetName=NetC12_2 Pin=U1-6
Added Pin To Net: NetName=NetC12_2 Pin=Y1-1
Added Net: Name=NetC12_2
Added Pin To Net: NetName=NetD1_1 Pin=D1-1
Added Pin To Net: NetName=NetD1_1 Pin=R1-1
Added Net: Name=NetD1_1
Added Pin To Net: NetName=NetD2_1 Pin=D2-1
Added Pin To Net: NetName=NetD2_1 Pin=R2-1
Added Net: Name=NetD2_1
Added Pin To Net: NetName=NetQ1_1 Pin=Q1-1
Added Pin To Net: NetName=NetQ1_1 Pin=R11-2
Added Pin To Net: NetName=NetQ1_1 Pin=R12-1
Added Net: Name=NetQ1_1
Added Pin To Net: NetName=NetQ1_3 Pin=Q1-3
Added Pin To Net: NetName=NetQ1_3 Pin=R10-2
Added Net: Name=NetQ1_3
Added Pin To Net: NetName=NetR5_1 Pin=R5-1
Added Pin To Net: NetName=NetR5_1 Pin=U1-25
Added Net: Name=NetR5_1
Added Pin To Net: NetName=nRST Pin=R7-1
Added Pin To Net: NetName=nRST Pin=U1-18
Added Net: Name=nRST
Added Pin To Net: NetName=SWCLK Pin=1-1
Added Pin To Net: NetName=SWCLK Pin=U1-37
Added Net: Name=SWCLK
Added Pin To Net: NetName=SWDIO Pin=1-2
Added Pin To Net: NetName=SWDIO Pin=U1-34
Added Net: Name=SWDIO
Added Pin To Net: NetName=TCK_SWCLK Pin=P1-3
Added Pin To Net: NetName=TCK_SWCLK Pin=R4-1
Added Pin To Net: NetName=TCK_SWCLK Pin=R4-2
Added Pin To Net: NetName=TCK_SWCLK Pin=U1-26
Added Net: Name=TCK_SWCLK
Added Pin To Net: NetName=TCK_SWDIO Pin=P1-4
Added Pin To Net: NetName=TCK_SWDIO Pin=R3-1
Added Pin To Net: NetName=TCK_SWDIO Pin=R3-2
Added Pin To Net: NetName=TCK_SWDIO Pin=R5-2
Added Pin To Net: NetName=TCK_SWDIO Pin=U1-27
Added Net: Name=TCK_SWDIO
Added Pin To Net: NetName=USB_CONN_N Pin=D3-1
Added Pin To Net: NetName=USB_CONN_N Pin=J1-A7
Added Pin To Net: NetName=USB_CONN_N Pin=J1-B7
Added Net: Name=USB_CONN_N
Added Pin To Net: NetName=USB_CONN_P Pin=D3-3
Added Pin To Net: NetName=USB_CONN_P Pin=J1-A6
Added Pin To Net: NetName=USB_CONN_P Pin=J1-B6
Added Net: Name=USB_CONN_P
Added Pin To Net: NetName=USB_ENUM Pin=R12-2
Added Pin To Net: NetName=USB_ENUM Pin=U1-28
Added Net: Name=USB_ENUM
Added Pin To Net: NetName=USB_N Pin=D3-6
Added Pin To Net: NetName=USB_N Pin=R10-1
Added Pin To Net: NetName=USB_N Pin=U1-32
Added Net: Name=USB_N
Added Pin To Net: NetName=USB_P Pin=D3-4
Added Pin To Net: NetName=USB_P Pin=U1-33
Added Net: Name=USB_P
Added Pin To Net: NetName=VCC_FB Pin=FB2-1
Added Pin To Net: NetName=VCC_FB Pin=J1-A5
Added Pin To Net: NetName=VCC_FB Pin=J1-B5
Added Net: Name=VCC_FB
Added Pin To Net: NetName=VCC Pin=C10-1
Added Pin To Net: NetName=VCC Pin=C13-2
Added Pin To Net: NetName=VCC Pin=D3-5
Added Pin To Net: NetName=VCC Pin=FB2-2
Added Pin To Net: NetName=VCC Pin=U3-3
Added Net: Name=VCC
Added Differential Pair: Name=USB_CONN
Added Differential Pair: Name=USB
